N,t
2,6e-06
3,4e-06
4,4e-06
5,5e-06
6,5e-06
7,5e-06
8,6e-06
9,7e-06
10,6e-06
11,7e-06
12,8e-06
13,8e-06
14,9e-06
15,9e-06
16,1.1e-05
17,1.1e-05
18,1.1e-05
19,1.3e-05
20,1.3e-05
21,1.4e-05
22,1.5e-05
23,1.6e-05
24,1.7e-05
25,1.8e-05
26,2e-05
27,2.1e-05
28,2.1e-05
29,2.2e-05
30,2.4e-05
31,2.5e-05
32,2.6e-05
33,2.7e-05
34,4.7e-05
35,3.5e-05
36,3.2e-05
37,5.8e-05
38,3.6e-05
39,3.6e-05
40,3.7e-05
41,6.6e-05
42,4.1e-05
43,4.2e-05
44,4.3e-05
45,4.5e-05
46,4.6e-05
47,4.9e-05
48,5.2e-05
49,1.1e-05
50,1.2e-05
51,1.2e-05
52,1.3e-05
53,1.3e-05
54,1.3e-05
55,1.4e-05
56,1.4e-05
57,1.4e-05
58,1.5e-05
59,1.5e-05
60,1.6e-05
61,1.7e-05
62,1.6e-05
63,1.7e-05
64,1.8e-05
65,1.8e-05
66,1.9e-05
67,2e-05
68,3.6e-05
69,2e-05
70,2.1e-05
71,2.2e-05
72,2.1e-05
73,2.3e-05
74,2.3e-05
75,2.4e-05
76,2.4e-05
77,2.5e-05
78,2.6e-05
79,2.6e-05
80,2.6e-05
81,2.7e-05
82,2.8e-05
83,2.8e-05
84,2.9e-05
85,2.9e-05
86,3e-05
87,3.1e-05
88,0.000114
89,3.2e-05
90,3.3e-05
91,3.3e-05
92,3.4e-05
93,3.5e-05
94,3.5e-05
95,3.6e-05
96,3.7e-05
97,3.8e-05
98,3.8e-05
99,5.2e-05
100,8.4e-05
101,4.1e-05
102,4.1e-05
103,7.7e-05
104,6e-05
105,4.7e-05
106,4.8e-05
107,4.9e-05
108,6e-05
109,5.1e-05
110,5.2e-05
111,5.2e-05
112,5.3e-05
113,6.9e-05
114,5.7e-05
115,5.6e-05
116,5.8e-05
117,6.4e-05
118,5.9e-05
119,9.3e-05
120,6.1e-05
121,6.2e-05
122,6.3e-05
123,6.4e-05
124,6.4e-05
125,6.6e-05
126,6.7e-05
127,6.8e-05
128,8.1e-05
129,7e-05
130,7e-05
131,7.2e-05
132,7.4e-05
133,7.6e-05
134,7.6e-05
135,7.6e-05
136,7.7e-05
137,7.8e-05
138,8.4e-05
139,8.2e-05
140,8.2e-05
141,8.4e-05
142,8.6e-05
143,9e-05
144,9.1e-05
145,9.5e-05
146,9.7e-05
147,9.9e-05
148,0.0001
149,0.000101
150,9.8e-05
151,9.5e-05
152,9.6e-05
153,9.8e-05
154,0.000139
155,0.000107
156,0.000135
157,0.000137
158,0.000112
159,0.000114
160,0.000121
161,0.000118
162,0.000119
163,0.000179
164,0.000112
165,0.000116
166,0.000119
167,0.000118
168,0.00012
169,0.000123
170,0.000124
171,0.000127
172,0.000125
173,0.000127
174,0.000169
175,0.000126
176,0.000148
177,0.00013
178,0.000131
179,0.000132
180,0.000135
181,0.000175
182,0.00014
183,0.000141
184,0.000165
185,0.000173
186,0.000178
187,0.000141
188,0.000143
189,0.000151
190,0.000145
191,0.000147
192,0.000148
193,0.000149
194,0.000152
195,0.000153
196,0.000154
197,0.000156
198,0.000158
199,0.000159
200,0.000161
201,0.000162
202,0.000164
203,0.000166
204,0.000166
205,0.000168
206,0.000169
207,0.000181
208,0.000173
209,0.000175
210,0.000176
211,0.000178
212,0.000186
213,0.000181
214,0.000182
215,0.000184
216,0.000186
217,0.000188
218,0.000189
219,0.000192
220,0.000193
221,0.000195
222,0.000196
223,0.000198
224,0.000201
225,0.000203
226,0.000206
227,0.00021
228,0.000213
229,0.000215
230,0.000387
231,0.000403
232,0.000245
233,0.000216
234,0.000218
235,0.000219
236,0.000244
237,0.000233
238,0.000236
239,0.000246
240,0.000256
241,0.000231
242,0.000232
243,0.000235
244,0.000242
245,0.000245
246,0.000279
247,0.00028
248,0.000291
249,0.000312
250,0.000273
251,0.000383
252,0.000276
253,0.000278
254,0.000279
255,0.00027
256,0.000271
257,0.000304
258,0.000275
259,0.000332
260,0.000346
261,0.00038
262,0.000261
263,0.000422
264,0.000359
265,0.000359
266,0.00026
267,0.00026
268,0.000264
269,0.000264
270,0.000267
271,0.000335
272,0.000271
273,0.000344
274,0.000274
275,0.000277
276,0.000279
277,0.000316
278,0.000282
279,0.000284
280,0.000397
281,0.000359
282,0.000396
283,0.000372
284,0.000303
285,0.000305
286,0.000311
287,0.00033
288,0.00041
289,0.000305
290,0.000307
291,0.000308
292,0.000352
293,0.000313
294,0.000401
295,0.000369
296,0.000491
297,0.000462
298,0.000332
299,0.000333
300,0.000438
301,0.000337
302,0.000373
303,0.000516
304,0.000407
305,0.000476
306,0.000415
307,0.000359
308,0.000369
309,0.000365
310,0.000389
311,0.000378
312,0.000382
313,0.000384
314,0.000386
315,0.000461
316,0.000453
317,0.000394
318,0.000396
319,0.000424
320,0.000407
321,0.000403
322,0.000431
323,0.000408
324,0.000513
325,0.000511
326,0.000426
327,0.00042
328,0.000456
329,0.000458
330,0.000454
331,0.000487
