S0,Price,intrinsic
50,50,50
51,49,49
52,48,48
53,47,47
54,46,46
55,45,45
56,44,44
57,43,43
58,42,42
59,41,41
60,40,40
61,39,39
62,38,38
63,37,37
64,36,36
65,35,35
66,34,34
67,33,33
68,32,32
69,31,31
70,30,30
71,29,29
72,28,28
73,27,27
74,26,26
75,25,25
76,24,24
77,23,23
78,22,22
79,21,21
80,20,20
81,19,19
82,18.02393174,18
83,17.08488571,17
84,16.18246683,16
85,15.31577854,15
86,14.48399365,14
87,13.68687669,13
88,12.92283154,12
89,12.19177498,11
90,11.49305383,10
91,10.82509168,9
92,10.18764972,8
93,9.580592809,7
94,9.001983081,6
95,8.450964948,5
96,7.927840681,4
97,7.43142868,3
98,6.960219818,2
99,6.513365847,1
100,6.090032408,0
101,5.690854151,0
102,5.313618715,0
103,4.957416834,0
104,4.621408561,0
105,4.304782479,0
106,4.006728187,0
107,3.726599825,0
108,3.464150749,0
109,3.217858077,0
110,2.986933207,0
111,2.770626038,0
112,2.568203924,0
113,2.378953033,0
114,2.202180623,0
115,2.037214236,0
116,1.883402898,0
117,1.740116732,0
118,1.606747907,0
119,1.482711501,0
120,1.367445787,0
121,1.260412413,0
122,1.161096885,0
123,1.069007939,0
124,0.9836778843,0
125,0.9046623081,0
126,0.8315396785,0
127,0.763912267,0
128,0.7014048024,0
129,0.6436621711,0
130,0.5903512087,0
131,0.5411678549,0
132,0.4960726927,0
133,0.4545588775,0
134,0.4163078759,0
135,0.3810772588,0
136,0.3486416901,0
137,0.3187900254,0
138,0.2913304532,0
139,0.2660843741,0
140,0.2431007485,0
141,0.2220612652,0
142,0.2027232076,0
143,0.1849552889,0
144,0.1686363783,0
145,0.1536575487,0
146,0.140096209,0
147,0.1277155097,0
148,0.1163457526,0
149,0.1059083788,0
150,0.09633404253,0
151,0.08769261376,0
152,0.07982832293,0
153,0.07260633276,0
154,0.06597834191,0
155,0.05992951819,0
156,0.05451847864,0
157,0.04954513293,0
158,0.04497793607,0
159,0.04079785677,0
160,0.0370863177,0
161,0.03367149627,0
162,0.03053341628,0
163,0.0276828246,0
164,0.02514004076,0
165,0.02279841535,0
166,0.02064586394,0
167,0.01872744168,0
168,0.01698515241,0
169,0.0153798603,0
