t,S_star,diff
1,88.88,0.004999272256
2,85.4771,0.004999883759
3,83.2141,0.00499933138
4,81.4987,0.004999530533
5,80.1091,0.004999443262
6,78.9409,0.004999568805
7,77.9327,0.004998824271
8,77.0503,0.004998872951
9,76.2648,0.00499908167
10,75.5554,0.004999244304
11,74.9102,0.004999616461
12,74.3158,0.004999364113
