N,t
452,0.004305
453,0.00433
454,0.004324
455,0.00439
456,0.004399
457,0.004394
458,0.004373
459,0.004464
460,0.004463
461,0.004478
462,0.004523
463,0.004556
464,0.004591
465,0.00454
466,0.004594
467,0.004593
468,0.004628
469,0.004638
470,0.004652
471,0.004677
472,0.004636
473,0.004703
474,0.004697
475,0.004703
476,0.004815
477,0.004807
478,0.004746
479,0.004826
480,0.004797
481,0.004921
482,0.004896
483,0.004866
484,0.004856
485,0.00496
486,0.004893
487,0.004922
488,0.004954
489,0.0051
490,0.005012
491,0.004987
492,0.005002
493,0.005172
494,0.005053
495,0.005298
496,0.005272
497,0.005324
498,0.005475
499,0.005606
500,0.005465
501,0.005605
502,0.005617
503,0.005632
504,0.005613
505,0.005439
506,0.005489
507,0.005547
508,0.005422
509,0.005457
510,0.005834
511,0.005434
512,0.005501
513,0.005594
514,0.005555
515,0.00562
516,0.005613
517,0.005653
518,0.005601
519,0.005719
520,0.005774
521,0.005727
522,0.005823
523,0.005749
524,0.005839
525,0.005804
526,0.005856
527,0.005863
528,0.005921
529,0.005879
530,0.005915
531,0.005909
532,0.005855
533,0.005986
534,0.005931
535,0.005967
536,0.005963
537,0.006006
538,0.005982
539,0.00612
540,0.006051
541,0.006153
542,0.006144
543,0.006193
544,0.006203
545,0.006168
546,0.006225
547,0.006182
548,0.006273
549,0.006303
550,0.006439
551,0.006375
552,0.00638
553,0.006383
554,0.006496
555,0.00648
556,0.006507
557,0.006464
558,0.00651
559,0.006684
560,0.006472
561,0.006515
562,0.006625
563,0.006526
564,0.006636
565,0.006637
566,0.006684
567,0.006647
568,0.006773
569,0.006649
570,0.006696
571,0.006721
572,0.006761
573,0.006795
574,0.006812
575,0.006801
576,0.006829
577,0.006915
578,0.006956
579,0.006868
580,0.006983
581,0.007001
582,0.006969
583,0.007066
584,0.007084
585,0.007097
586,0.007124
587,0.00712
588,0.007227
589,0.007373
590,0.007246
591,0.007191
592,0.007235
593,0.007364
594,0.007337
595,0.007367
596,0.007527
597,0.007363
598,0.007462
599,0.007378
600,0.007647
601,0.007499
602,0.00766
603,0.00759
604,0.007597
605,0.007582
606,0.00762
607,0.00765
608,0.007651
609,0.007714
610,0.007729
611,0.008085
612,0.007921
613,0.008046
614,0.008325
615,0.008248
616,0.008309
617,0.008072
618,0.008034
619,0.007989
620,0.008069
621,0.008115
622,0.008205
623,0.008207
624,0.008227
625,0.008267
626,0.0083
627,0.00828
628,0.008238
629,0.008239
630,0.008229
631,0.008276
632,0.008247
633,0.008287
634,0.008377
635,0.008325
636,0.008368
637,0.008396
638,0.008421
639,0.008413
640,0.008453
641,0.008486
642,0.008533
643,0.008633
644,0.008611
645,0.008569
646,0.008672
647,0.008645
648,0.008642
649,0.008795
650,0.008737
651,0.008793
652,0.008857
653,0.008872
654,0.008865
655,0.00885
656,0.008898
657,0.008934
658,0.008994
659,0.008922
660,0.00905
661,0.00897
662,0.009142
663,0.009131
664,0.009112
665,0.009136
666,0.009354
667,0.009252
668,0.009238
669,0.009417
670,0.009312
671,0.009411
672,0.009415
673,0.00935
674,0.009454
675,0.009397
676,0.009441
677,0.009524
678,0.00977
679,0.009555
680,0.009626
681,0.00968
682,0.009679
683,0.009627
684,0.009699
685,0.009713
686,0.009684
687,0.009823
688,0.009795
689,0.009797
690,0.009795
691,0.009935
692,0.00986
693,0.009909
694,0.009932
695,0.010044
