N,CRR,BS
283,8.109303683,8.102643534
284,8.095934838,8.102643534
285,8.109256925,8.102643534
286,8.095981731,8.102643534
287,8.109210819,8.102643534
288,8.096027974,8.102643534
289,8.109165352,8.102643534
290,8.096073578,8.102643534
291,8.10912051,8.102643534
292,8.096118559,8.102643534
293,8.10907628,8.102643534
294,8.096162927,8.102643534
295,8.10903265,8.102643534
296,8.096206696,8.102643534
297,8.108989608,8.102643534
298,8.096249878,8.102643534
299,8.108947142,8.102643534
300,8.096292485,8.102643534
301,8.10890524,8.102643534
302,8.096334527,8.102643534
303,8.108863892,8.102643534
304,8.096376017,8.102643534
305,8.108823086,8.102643534
306,8.096416964,8.102643534
307,8.108782813,8.102643534
308,8.09645738,8.102643534
309,8.108743061,8.102643534
310,8.096497274,8.102643534
311,8.10870382,8.102643534
312,8.096536657,8.102643534
313,8.108665081,8.102643534
314,8.096575539,8.102643534
315,8.108626834,8.102643534
316,8.096613929,8.102643534
317,8.10858907,8.102643534
318,8.096651836,8.102643534
319,8.108551779,8.102643534
320,8.096689269,8.102643534
321,8.108514954,8.102643534
322,8.096726238,8.102643534
323,8.108478585,8.102643534
324,8.09676275,8.102643534
325,8.108442663,8.102643534
326,8.096798814,8.102643534
327,8.108407181,8.102643534
328,8.096834439,8.102643534
329,8.108372131,8.102643534
330,8.096869632,8.102643534
331,8.108337504,8.102643534
332,8.096904402,8.102643534
333,8.108303293,8.102643534
334,8.096938755,8.102643534
335,8.108269491,8.102643534
336,8.096972699,8.102643534
337,8.108236091,8.102643534
338,8.097006242,8.102643534
339,8.108203084,8.102643534
340,8.09703939,8.102643534
341,8.108170465,8.102643534
342,8.097072151,8.102643534
343,8.108138227,8.102643534
344,8.097104531,8.102643534
345,8.108106362,8.102643534
346,8.097136537,8.102643534
347,8.108074865,8.102643534
348,8.097168174,8.102643534
349,8.108043729,8.102643534
350,8.097199451,8.102643534
351,8.108012948,8.102643534
352,8.097230372,8.102643534
353,8.107982516,8.102643534
354,8.097260944,8.102643534
355,8.107952427,8.102643534
356,8.097291173,8.102643534
357,8.107922675,8.102643534
358,8.097321064,8.102643534
359,8.107893254,8.102643534
360,8.097350623,8.102643534
361,8.10786416,8.102643534
362,8.097379855,8.102643534
363,8.107835387,8.102643534
364,8.097408766,8.102643534
365,8.107806929,8.102643534
366,8.097437362,8.102643534
367,8.107778781,8.102643534
368,8.097465647,8.102643534
369,8.107750938,8.102643534
370,8.097493626,8.102643534
371,8.107723396,8.102643534
372,8.097521304,8.102643534
373,8.107696149,8.102643534
374,8.097548686,8.102643534
375,8.107669193,8.102643534
376,8.097575778,8.102643534
377,8.107642523,8.102643534
378,8.097602582,8.102643534
379,8.107616135,8.102643534
380,8.097629105,8.102643534
381,8.107590023,8.102643534
382,8.09765535,8.102643534
383,8.107564185,8.102643534
384,8.097681321,8.102643534
385,8.107538615,8.102643534
386,8.097707024,8.102643534
387,8.107513309,8.102643534
388,8.097732461,8.102643534
389,8.107488264,8.102643534
390,8.097757638,8.102643534
391,8.107463475,8.102643534
392,8.097782558,8.102643534
393,8.107438938,8.102643534
394,8.097807225,8.102643534
395,8.10741465,8.102643534
396,8.097831644,8.102643534
397,8.107390607,8.102643534
398,8.097855816,8.102643534
399,8.107366805,8.102643534
400,8.097879747,8.102643534
401,8.10734324,8.102643534
402,8.09790344,8.102643534
403,8.107319909,8.102643534
404,8.097926899,8.102643534
405,8.107296809,8.102643534
406,8.097950126,8.102643534
407,8.107273936,8.102643534
408,8.097973126,8.102643534
409,8.107251287,8.102643534
410,8.097995902,8.102643534
411,8.107228858,8.102643534
412,8.098018456,8.102643534
413,8.107206646,8.102643534
414,8.098040793,8.102643534
415,8.107184649,8.102643534
416,8.098062914,8.102643534
417,8.107162863,8.102643534
418,8.098084825,8.102643534
419,8.107141284,8.102643534
420,8.098106526,8.102643534
421,8.107119911,8.102643534
422,8.098128022,8.102643534
423,8.10709874,8.102643534
424,8.098149316,8.102643534
425,8.107077768,8.102643534
426,8.098170409,8.102643534
427,8.107056993,8.102643534
428,8.098191305,8.102643534
429,8.107036412,8.102643534
430,8.098212007,8.102643534
431,8.107016021,8.102643534
432,8.098232518,8.102643534
433,8.106995819,8.102643534
434,8.098252839,8.102643534
435,8.106975803,8.102643534
436,8.098272974,8.102643534
437,8.10695597,8.102643534
438,8.098292925,8.102643534
439,8.106936318,8.102643534
440,8.098312695,8.102643534
441,8.106916844,8.102643534
442,8.098332286,8.102643534
443,8.106897546,8.102643534
444,8.098351701,8.102643534
445,8.106878422,8.102643534
446,8.098370941,8.102643534
447,8.106859469,8.102643534
448,8.09839001,8.102643534
449,8.106840684,8.102643534
450,8.098408909,8.102643534
451,8.106822067,8.102643534
452,8.098427641,8.102643534
453,8.106803613,8.102643534
454,8.098446208,8.102643534
455,8.106785322,8.102643534
456,8.098464612,8.102643534
457,8.106767192,8.102643534
458,8.098482856,8.102643534
459,8.106749219,8.102643534
460,8.098500941,8.102643534
461,8.106731402,8.102643534
462,8.098518869,8.102643534
463,8.106713739,8.102643534
464,8.098536643,8.102643534
465,8.106696228,8.102643534
466,8.098554265,8.102643534
467,8.106678867,8.102643534
468,8.098571735,8.102643534
469,8.106661655,8.102643534
470,8.098589058,8.102643534
471,8.106644588,8.102643534
472,8.098606233,8.102643534
473,8.106627666,8.102643534
474,8.098623264,8.102643534
475,8.106610886,8.102643534
476,8.098640151,8.102643534
477,8.106594247,8.102643534
478,8.098656897,8.102643534
479,8.106577747,8.102643534
480,8.098673504,8.102643534
481,8.106561385,8.102643534
482,8.098689973,8.102643534
483,8.106545158,8.102643534
484,8.098706305,8.102643534
485,8.106529064,8.102643534
486,8.098722504,8.102643534
487,8.106513103,8.102643534
488,8.09873857,8.102643534
489,8.106497273,8.102643534
490,8.098754504,8.102643534
491,8.106481572,8.102643534
492,8.098770309,8.102643534
493,8.106465998,8.102643534
494,8.098785986,8.102643534
495,8.106450549,8.102643534
496,8.098801537,8.102643534
497,8.106435226,8.102643534
498,8.098816963,8.102643534
499,8.106420025,8.102643534
500,8.098832265,8.102643534
501,8.106404945,8.102643534
502,8.098847446,8.102643534
503,8.106389986,8.102643534
504,8.098862506,8.102643534
505,8.106375145,8.102643534
506,8.098877447,8.102643534
507,8.106360421,8.102643534
508,8.09889227,8.102643534
509,8.106345813,8.102643534
510,8.098906977,8.102643534
511,8.106331319,8.102643534
512,8.09892157,8.102643534
513,8.106316938,8.102643534
514,8.098936049,8.102643534
515,8.106302669,8.102643534
516,8.098950415,8.102643534
517,8.10628851,8.102643534
518,8.098964671,8.102643534
519,8.106274461,8.102643534
520,8.098978817,8.102643534
521,8.106260519,8.102643534
522,8.098992855,8.102643534
523,8.106246684,8.102643534
524,8.099006785,8.102643534
525,8.106232955,8.102643534
526,8.09902061,8.102643534
527,8.10621933,8.102643534
528,8.09903433,8.102643534
529,8.106205807,8.102643534
530,8.099047946,8.102643534
531,8.106192387,8.102643534
532,8.09906146,8.102643534
533,8.106179067,8.102643534
534,8.099074873,8.102643534
535,8.106165847,8.102643534
536,8.099088186,8.102643534
537,8.106152726,8.102643534
538,8.0991014,8.102643534
539,8.106139702,8.102643534
540,8.099114516,8.102643534
541,8.106126774,8.102643534
542,8.099127535,8.102643534
543,8.106113942,8.102643534
544,8.099140458,8.102643534
545,8.106101203,8.102643534
546,8.099153287,8.102643534
547,8.106088558,8.102643534
548,8.099166022,8.102643534
549,8.106076005,8.102643534
550,8.099178665,8.102643534
551,8.106063543,8.102643534
552,8.099191216,8.102643534
553,8.106051172,8.102643534
554,8.099203676,8.102643534
555,8.106038889,8.102643534
556,8.099216047,8.102643534
557,8.106026695,8.102643534
558,8.099228329,8.102643534
559,8.106014588,8.102643534
560,8.099240524,8.102643534
561,8.106002567,8.102643534
562,8.099252631,8.102643534
563,8.105990632,8.102643534
564,8.099264653,8.102643534
565,8.105978781,8.102643534
566,8.09927659,8.102643534
567,8.105967014,8.102643534
568,8.099288443,8.102643534
569,8.10595533,8.102643534
570,8.099300213,8.102643534
571,8.105943727,8.102643534
572,8.0993119,8.102643534
573,8.105932206,8.102643534
574,8.099323506,8.102643534
575,8.105920765,8.102643534
576,8.099335031,8.102643534
577,8.105909403,8.102643534
578,8.099346477,8.102643534
579,8.105898119,8.102643534
580,8.099357844,8.102643534
581,8.105886913,8.102643534
582,8.099369132,8.102643534
583,8.105875784,8.102643534
584,8.099380343,8.102643534
585,8.105864732,8.102643534
586,8.099391478,8.102643534
587,8.105853754,8.102643534
588,8.099402537,8.102643534
589,8.105842851,8.102643534
590,8.099413521,8.102643534
591,8.105832022,8.102643534
592,8.099424431,8.102643534
593,8.105821266,8.102643534
594,8.099435268,8.102643534
595,8.105810583,8.102643534
596,8.099446031,8.102643534
597,8.105799971,8.102643534
598,8.099456723,8.102643534
599,8.10578943,8.102643534
600,8.099467344,8.102643534
601,8.105778959,8.102643534
602,8.099477894,8.102643534
603,8.105768557,8.102643534
604,8.099488374,8.102643534
605,8.105758224,8.102643534
606,8.099498785,8.102643534
607,8.10574796,8.102643534
608,8.099509127,8.102643534
609,8.105737762,8.102643534
610,8.099519402,8.102643534
611,8.105727632,8.102643534
612,8.099529609,8.102643534
613,8.105717568,8.102643534
614,8.09953975,8.102643534
615,8.105707569,8.102643534
616,8.099549825,8.102643534
617,8.105697635,8.102643534
618,8.099559835,8.102643534
619,8.105687765,8.102643534
620,8.099569781,8.102643534
621,8.105677959,8.102643534
622,8.099579662,8.102643534
623,8.105668215,8.102643534
624,8.09958948,8.102643534
625,8.105658535,8.102643534
626,8.099599236,8.102643534
627,8.105648915,8.102643534
628,8.099608929,8.102643534
629,8.105639357,8.102643534
630,8.099618561,8.102643534
631,8.10562986,8.102643534
632,8.099628132,8.102643534
633,8.105620423,8.102643534
634,8.099637642,8.102643534
635,8.105611045,8.102643534
636,8.099647093,8.102643534
637,8.105601726,8.102643534
638,8.099656484,8.102643534
639,8.105592465,8.102643534
640,8.099665817,8.102643534
641,8.105583263,8.102643534
642,8.099675091,8.102643534
643,8.105574117,8.102643534
644,8.099684308,8.102643534
645,8.105565028,8.102643534
646,8.099693468,8.102643534
647,8.105555996,8.102643534
648,8.099702572,8.102643534
649,8.105547019,8.102643534
650,8.099711619,8.102643534
651,8.105538097,8.102643534
652,8.099720611,8.102643534
653,8.10552923,8.102643534
654,8.099729548,8.102643534
655,8.105520417,8.102643534
656,8.09973843,8.102643534
657,8.105511658,8.102643534
658,8.099747258,8.102643534
659,8.105502952,8.102643534
660,8.099756033,8.102643534
661,8.105494298,8.102643534
662,8.099764755,8.102643534
663,8.105485697,8.102643534
664,8.099773425,8.102643534
665,8.105477148,8.102643534
666,8.099782042,8.102643534
667,8.105468649,8.102643534
668,8.099790608,8.102643534
669,8.105460202,8.102643534
670,8.099799122,8.102643534
671,8.105451805,8.102643534
672,8.099807586,8.102643534
673,8.105443458,8.102643534
674,8.099816,8.102643534
675,8.10543516,8.102643534
676,8.099824364,8.102643534
677,8.105426912,8.102643534
678,8.099832679,8.102643534
679,8.105418712,8.102643534
680,8.099840944,8.102643534
681,8.10541056,8.102643534
682,8.099849161,8.102643534
683,8.105402456,8.102643534
684,8.099857331,8.102643534
685,8.1053944,8.102643534
686,8.099865452,8.102643534
687,8.10538639,8.102643534
688,8.099873527,8.102643534
689,8.105378426,8.102643534
690,8.099881554,8.102643534
691,8.105370509,8.102643534
692,8.099889535,8.102643534
693,8.105362638,8.102643534
694,8.09989747,8.102643534
695,8.105354812,8.102643534
696,8.09990536,8.102643534
697,8.10534703,8.102643534
698,8.099913204,8.102643534
699,8.105339294,8.102643534
700,8.099921004,8.102643534
701,8.105331601,8.102643534
702,8.099928759,8.102643534
703,8.105323952,8.102643534
704,8.09993647,8.102643534
705,8.105316347,8.102643534
706,8.099944137,8.102643534
707,8.105308785,8.102643534
708,8.099951761,8.102643534
709,8.105301265,8.102643534
710,8.099959343,8.102643534
711,8.105293788,8.102643534
712,8.099966881,8.102643534
713,8.105286352,8.102643534
714,8.099974377,8.102643534
715,8.105278959,8.102643534
716,8.099981832,8.102643534
717,8.105271606,8.102643534
718,8.099989245,8.102643534
719,8.105264295,8.102643534
720,8.099996617,8.102643534
721,8.105257024,8.102643534
722,8.100003947,8.102643534
723,8.105249793,8.102643534
724,8.100011238,8.102643534
725,8.105242602,8.102643534
726,8.100018488,8.102643534
727,8.105235451,8.102643534
728,8.100025699,8.102643534
729,8.105228338,8.102643534
730,8.100032869,8.102643534
731,8.105221265,8.102643534
732,8.100040001,8.102643534
733,8.105214231,8.102643534
734,8.100047094,8.102643534
735,8.105207234,8.102643534
736,8.100054148,8.102643534
737,8.105200276,8.102643534
738,8.100061165,8.102643534
739,8.105193356,8.102643534
740,8.100068143,8.102643534
741,8.105186472,8.102643534
742,8.100075083,8.102643534
743,8.105179626,8.102643534
744,8.100081987,8.102643534
745,8.105172817,8.102643534
746,8.100088853,8.102643534
747,8.105166044,8.102643534
748,8.100095682,8.102643534
749,8.105159307,8.102643534
750,8.100102476,8.102643534
751,8.105152606,8.102643534
752,8.100109233,8.102643534
753,8.105145941,8.102643534
754,8.100115954,8.102643534
755,8.105139311,8.102643534
756,8.100122639,8.102643534
757,8.105132716,8.102643534
758,8.10012929,8.102643534
759,8.105126156,8.102643534
760,8.100135905,8.102643534
761,8.10511963,8.102643534
762,8.100142486,8.102643534
763,8.105113139,8.102643534
764,8.100149032,8.102643534
765,8.105106681,8.102643534
766,8.100155544,8.102643534
767,8.105100257,8.102643534
768,8.100162022,8.102643534
769,8.105093867,8.102643534
770,8.100168466,8.102643534
771,8.10508751,8.102643534
772,8.100174877,8.102643534
773,8.105081185,8.102643534
774,8.100181255,8.102643534
775,8.105074893,8.102643534
776,8.1001876,8.102643534
777,8.105068634,8.102643534
778,8.100193913,8.102643534
779,8.105062407,8.102643534
780,8.100200193,8.102643534
781,8.105056212,8.102643534
782,8.100206441,8.102643534
783,8.105050048,8.102643534
784,8.100212657,8.102643534
785,8.105043916,8.102643534
786,8.100218841,8.102643534
787,8.105037815,8.102643534
788,8.100224994,8.102643534
789,8.105031745,8.102643534
790,8.100231116,8.102643534
791,8.105025705,8.102643534
792,8.100237207,8.102643534
793,8.105019696,8.102643534
794,8.100243268,8.102643534
795,8.105013718,8.102643534
796,8.100249298,8.102643534
797,8.105007769,8.102643534
798,8.100255297,8.102643534
799,8.10500185,8.102643534
800,8.100261267,8.102643534
801,8.104995961,8.102643534
802,8.100267207,8.102643534
803,8.104990101,8.102643534
804,8.100273117,8.102643534
805,8.10498427,8.102643534
806,8.100278998,8.102643534
807,8.104978468,8.102643534
808,8.10028485,8.102643534
809,8.104972695,8.102643534
810,8.100290673,8.102643534
811,8.10496695,8.102643534
812,8.100296467,8.102643534
813,8.104961233,8.102643534
814,8.100302233,8.102643534
815,8.104955545,8.102643534
816,8.100307971,8.102643534
817,8.104949884,8.102643534
818,8.10031368,8.102643534
819,8.104944251,8.102643534
820,8.100319362,8.102643534
821,8.104938646,8.102643534
822,8.100325016,8.102643534
823,8.104933068,8.102643534
824,8.100330643,8.102643534
825,8.104927516,8.102643534
826,8.100336242,8.102643534
827,8.104921992,8.102643534
828,8.100341814,8.102643534
829,8.104916494,8.102643534
830,8.10034736,8.102643534
831,8.104911023,8.102643534
832,8.100352879,8.102643534
833,8.104905578,8.102643534
834,8.100358371,8.102643534
835,8.104900159,8.102643534
836,8.100363837,8.102643534
837,8.104894766,8.102643534
838,8.100369277,8.102643534
839,8.104889399,8.102643534
840,8.100374691,8.102643534
841,8.104884057,8.102643534
842,8.10038008,8.102643534
843,8.104878741,8.102643534
844,8.100385442,8.102643534
845,8.10487345,8.102643534
846,8.10039078,8.102643534
847,8.104868184,8.102643534
848,8.100396092,8.102643534
849,8.104862942,8.102643534
850,8.10040138,8.102643534
851,8.104857725,8.102643534
852,8.100406642,8.102643534
853,8.104852533,8.102643534
854,8.10041188,8.102643534
855,8.104847365,8.102643534
856,8.100417093,8.102643534
857,8.104842221,8.102643534
858,8.100422282,8.102643534
859,8.104837101,8.102643534
860,8.100427447,8.102643534
861,8.104832005,8.102643534
862,8.100432588,8.102643534
863,8.104826933,8.102643534
864,8.100437706,8.102643534
865,8.104821884,8.102643534
866,8.100442799,8.102643534
867,8.104816858,8.102643534
868,8.100447869,8.102643534
869,8.104811855,8.102643534
870,8.100452916,8.102643534
871,8.104806876,8.102643534
872,8.10045794,8.102643534
873,8.104801919,8.102643534
874,8.10046294,8.102643534
875,8.104796985,8.102643534
876,8.100467918,8.102643534
877,8.104792073,8.102643534
878,8.100472873,8.102643534
879,8.104787184,8.102643534
880,8.100477806,8.102643534
881,8.104782317,8.102643534
882,8.100482716,8.102643534
883,8.104777472,8.102643534
884,8.100487604,8.102643534
885,8.104772649,8.102643534
886,8.10049247,8.102643534
887,8.104767847,8.102643534
888,8.100497314,8.102643534
889,8.104763067,8.102643534
890,8.100502136,8.102643534
891,8.104758309,8.102643534
892,8.100506937,8.102643534
893,8.104753572,8.102643534
894,8.100511716,8.102643534
895,8.104748856,8.102643534
896,8.100516474,8.102643534
897,8.104744162,8.102643534
898,8.100521211,8.102643534
899,8.104739488,8.102643534
900,8.100525926,8.102643534
901,8.104734835,8.102643534
902,8.100530621,8.102643534
903,8.104730202,8.102643534
904,8.100535295,8.102643534
905,8.10472559,8.102643534
906,8.100539948,8.102643534
907,8.104720998,8.102643534
908,8.100544581,8.102643534
909,8.104716427,8.102643534
910,8.100549194,8.102643534
911,8.104711875,8.102643534
912,8.100553786,8.102643534
913,8.104707344,8.102643534
914,8.100558358,8.102643534
915,8.104702832,8.102643534
916,8.10056291,8.102643534
917,8.10469834,8.102643534
918,8.100567442,8.102643534
919,8.104693868,8.102643534
920,8.100571955,8.102643534
921,8.104689415,8.102643534
922,8.100576448,8.102643534
923,8.104684981,8.102643534
924,8.100580922,8.102643534
925,8.104680567,8.102643534
926,8.100585376,8.102643534
927,8.104676171,8.102643534
928,8.100589811,8.102643534
929,8.104671795,8.102643534
930,8.100594227,8.102643534
931,8.104667437,8.102643534
932,8.100598624,8.102643534
933,8.104663098,8.102643534
934,8.100603002,8.102643534
935,8.104658777,8.102643534
936,8.100607362,8.102643534
937,8.104654475,8.102643534
938,8.100611703,8.102643534
939,8.104650191,8.102643534
940,8.100616025,8.102643534
941,8.104645926,8.102643534
942,8.100620329,8.102643534
943,8.104641679,8.102643534
944,8.100624615,8.102643534
945,8.104637449,8.102643534
946,8.100628883,8.102643534
947,8.104633238,8.102643534
948,8.100633133,8.102643534
949,8.104629044,8.102643534
950,8.100637365,8.102643534
951,8.104624868,8.102643534
952,8.100641579,8.102643534
953,8.104620709,8.102643534
954,8.100645775,8.102643534
955,8.104616568,8.102643534
956,8.100649954,8.102643534
957,8.104612444,8.102643534
958,8.100654116,8.102643534
959,8.104608337,8.102643534
960,8.10065826,8.102643534
961,8.104604248,8.102643534
962,8.100662386,8.102643534
963,8.104600175,8.102643534
964,8.100666496,8.102643534
965,8.104596119,8.102643534
966,8.100670589,8.102643534
967,8.10459208,8.102643534
968,8.100674665,8.102643534
969,8.104588058,8.102643534
970,8.100678724,8.102643534
971,8.104584052,8.102643534
972,8.100682766,8.102643534
973,8.104580063,8.102643534
974,8.100686792,8.102643534
975,8.10457609,8.102643534
976,8.100690801,8.102643534
977,8.104572134,8.102643534
978,8.100694794,8.102643534
979,8.104568193,8.102643534
980,8.10069877,8.102643534
981,8.104564269,8.102643534
982,8.100702731,8.102643534
983,8.10456036,8.102643534
984,8.100706675,8.102643534
985,8.104556468,8.102643534
986,8.100710603,8.102643534
987,8.104552591,8.102643534
988,8.100714515,8.102643534
989,8.10454873,8.102643534
990,8.100718412,8.102643534
991,8.104544885,8.102643534
992,8.100722293,8.102643534
993,8.104541055,8.102643534
994,8.100726158,8.102643534
995,8.10453724,8.102643534
996,8.100730007,8.102643534
997,8.104533441,8.102643534
998,8.100733842,8.102643534
999,8.104529657,8.102643534
