N,t
2,5.6e-05
3,7e-06
4,8e-06
5,9e-06
6,1.2e-05
7,1.3e-05
8,1.6e-05
9,2e-05
10,2.2e-05
11,2.5e-05
12,3.1e-05
13,3.3e-05
14,3.8e-05
15,4.2e-05
16,4.7e-05
17,5.4e-05
18,5.9e-05
19,8.8e-05
20,7.1e-05
21,7.7e-05
22,8.3e-05
23,9e-05
24,9.8e-05
25,0.000107
26,0.000114
27,0.000121
28,0.000131
29,0.000158
30,0.000149
31,0.000158
32,0.000169
33,0.000177
34,0.000187
35,0.000199
36,0.00021
37,0.000222
38,0.000231
39,0.000251
40,0.000249
41,0.000272
42,0.000283
43,0.000293
44,0.000309
45,0.000348
46,0.00034
47,0.000348
48,0.000369
49,0.000398
50,0.000444
51,0.000422
52,0.000447
53,0.000452
54,0.00048
55,0.000506
56,0.000511
57,0.000519
58,0.000562
59,0.00056
60,0.000561
61,0.000624
62,0.000754
63,0.000682
64,0.00082
65,0.000693
66,0.000716
67,0.000712
68,0.000769
69,0.00081
70,0.000787
71,0.000844
72,0.000834
73,0.000917
74,0.000913
75,0.000977
76,0.001063
77,0.001021
78,0.001059
79,0.001293
80,0.001022
81,0.000994
82,0.00103
83,0.001048
84,0.001058
85,0.001109
86,0.001145
87,0.001158
88,0.001185
89,0.00122
90,0.001243
91,0.001321
92,0.001333
93,0.001462
94,0.001404
95,0.001489
96,0.001498
97,0.0015
98,0.001488
99,0.00149
100,0.001539
101,0.001581
102,0.001644
103,0.001592
104,0.001628
105,0.001693
106,0.001692
107,0.001418
108,0.001139
109,0.001158
110,0.0012
111,0.001202
112,0.001223
113,0.001236
114,0.001286
115,0.001287
116,0.001301
117,0.001346
118,0.001346
119,0.001376
120,0.001395
121,0.001405
122,0.001448
123,0.00147
124,0.00143
125,0.001511
126,0.001379
127,0.001399
128,0.001439
129,0.001452
130,0.001475
131,0.001516
132,0.001567
133,0.001598
134,0.001643
135,0.001692
136,0.001676
137,0.001695
138,0.001795
139,0.001825
140,0.00177
141,0.001798
142,0.001838
143,0.001838
144,0.001804
145,0.001418
146,0.001317
147,0.001355
148,0.001361
149,0.001379
150,0.001409
151,0.001361
152,0.001119
153,0.001142
154,0.001139
155,0.001159
156,0.001174
157,0.001194
158,0.001197
159,0.001101
160,0.001015
161,0.001023
162,0.001028
163,0.001041
164,0.001064
165,0.001073
166,0.00108
167,0.001095
168,0.000941
169,0.000946
170,0.000956
171,0.000974
172,0.000989
173,0.00099
174,0.001002
175,0.001012
176,0.001036
177,0.000914
178,0.000908
179,0.000924
180,0.000934
181,0.000939
182,0.000955
183,0.000962
184,0.000982
185,0.000981
186,0.000944
187,0.000889
188,0.000899
189,0.000907
190,0.000918
191,0.000927
192,0.000931
193,0.00095
194,0.000956
195,0.00096
196,0.000902
197,0.000878
198,0.000884
199,0.0009
200,0.000908
201,0.000918
202,0.000925
203,0.000936
204,0.000945
205,0.000957
206,0.000917
207,0.000918
208,0.000926
209,0.000936
210,0.000952
211,0.000963
212,0.000964
213,0.000979
214,0.000995
215,0.001038
216,0.001029
217,0.001193
218,0.00141
219,0.001242
220,0.00125
221,0.0014
222,0.001267
223,0.001511
224,0.001341
225,0.001282
226,0.001347
227,0.001602
228,0.001334
229,0.001138
230,0.001139
231,0.001141
232,0.001152
233,0.001169
234,0.001176
235,0.001181
236,0.001311
237,0.001229
238,0.001357
239,0.001318
240,0.001315
241,0.00125
242,0.001257
243,0.00127
244,0.001319
245,0.001294
246,0.001293
247,0.001311
248,0.001313
249,0.001338
250,0.001334
251,0.00135
252,0.001365
253,0.001373
254,0.001382
255,0.001396
256,0.001399
257,0.001417
258,0.001421
