S0,Price,intrinsic
50,50,50
51,49,49
52,48,48
53,47,47
54,46,46
55,45,45
56,44,44
57,43,43
58,42,42
59,41,41
60,40,40
61,39,39
62,38,38
63,37,37
64,36,36
65,35,35
66,34,34
67,33,33
68,32,32
69,31,31
70,30,30
71,29,29
72,28,28
73,27,27
74,26.00155412,26
75,25.01894951,25
76,24.05573396,24
77,23.11177793,23
78,22.18801048,22
79,21.28382218,21
80,20.40058679,20
81,19.53728298,19
82,18.69589823,18
83,17.87492791,17
84,17.07622189,16
85,16.29894309,15
86,15.54338186,14
87,14.8108862,13
88,14.09978767,12
89,13.41157523,11
90,12.74629892,10
91,12.10266094,9
92,11.48165617,8
93,10.8840195,7
94,10.30792056,6
95,9.753201586,5
96,9.22139573,4
97,8.71152677,3
98,8.222418953,2
99,7.753779399,1
100,7.305288421,0
101,6.878692332,0
102,6.471484022,0
103,6.083203055,0
104,5.713406674,0
105,5.361630304,0
106,5.027389949,0
107,4.710433361,0
108,4.410933472,0
109,4.127296263,0
110,3.858969008,0
111,3.605398149,0
112,3.366025186,0
113,3.140292257,0
114,2.927639002,0
115,2.727507086,0
116,2.539343087,0
117,2.362598891,0
118,2.196734022,0
119,2.041217426,0
120,1.89552907,0
121,1.759161332,0
122,1.631620173,0
123,1.512426321,0
124,1.401115639,0
125,1.29724073,0
126,1.200371647,0
127,1.110094678,0
128,1.026014147,0
129,0.9477528905,0
130,0.8749517311,0
131,0.8072706311,0
132,0.7447881445,0
133,0.6868706149,0
134,0.6331159375,0
135,0.5832462541,0
136,0.5370001439,0
137,0.4941322499,0
138,0.4544120067,0
139,0.4176258201,0
140,0.3839122662,0
141,0.3528620289,0
142,0.3241236721,0
143,0.2975340608,0
144,0.2729412892,0
145,0.250205361,0
146,0.2294883849,0
147,0.2104677724,0
148,0.1928810435,0
149,0.1766264148,0
150,0.1616101559,0
151,0.1479695861,0
152,0.1354910707,0
153,0.1239549045,0
154,0.1132956422,0
155,0.1034949851,0
156,0.09469163509,0
157,0.08654766404,0
158,0.07901896505,0
159,0.07207534677,0
160,0.06588734986,0
161,0.06015759985,0
162,0.05485732274,0
163,0.05000743329,0
164,0.04566535486,0
165,0.04164117533,0
166,0.03791670655,0
167,0.03457732659,0
168,0.03153121103,0
169,0.02870645017,0
