t,S_star,diff
1,125.0543,0.004999948751
2,128.7319,0.004999729892
3,132.2693,0.004999823942
4,135.4561,0.004999765683
5,138.2776,0.004999794735
6,140.7946,0.004999641818
7,143.0679,0.004999925403
8,145.1413,0.004999748631
9,147.0523,0.004999570588
10,148.8218,0.004999731813
11,150.4804,0.004999774027
12,152.032,0.004999898986
