S0,Price,intrinsic
50,0.001090321652,0
51,0.001614053802,0
52,0.002354807835,0
53,0.003376591379,0
54,0.004767326567,0
55,0.00665038628,0
56,0.00916003323,0
57,0.01245235667,0
58,0.01672208734,0
59,0.02219843106,0
60,0.02914752575,0
61,0.03787413356,0
62,0.04872231598,0
63,0.06207484431,0
64,0.07835112168,0
65,0.0981048032,0
66,0.1219052257,0
67,0.1502140729,0
68,0.1835872422,0
69,0.2225940576,0
70,0.2685366181,0
71,0.3215209,0
72,0.3821242211,0
73,0.4520642341,0
74,0.531252916,0
75,0.6205566127,0
76,0.7215966938,0
77,0.8336174781,0
78,0.9597034298,0
79,1.098041417,0
80,1.251979593,0
81,1.419455048,0
82,1.604424295,0
83,1.804262306,0
84,2.022375266,0
85,2.257442933,0
86,2.510291651,0
87,2.782950486,0
88,3.073295207,0
89,3.383706108,0
90,3.714288373,0
91,4.063631992,0
92,4.433335185,0
93,4.824389492,0
94,5.234755795,0
95,5.664518385,0
96,6.115786682,0
97,6.58744183,0
98,7.078346976,0
99,7.588383697,0
100,8.117390512,0
101,8.667585494,1
102,9.23614666,2
103,9.822784379,3
104,10.42717558,4
105,11.04896633,5
106,11.68777447,6
107,12.34349243,7
108,13.01639419,8
109,13.70485863,9
110,14.40842214,10
111,15.12660892,11
112,15.8589338,12
113,16.60490508,13
114,17.36402708,14
115,18.1358028,15
116,18.91973627,16
117,19.71533487,17
118,20.52211142,18
119,21.33958613,19
120,22.16728841,20
121,23.00475838,21
122,23.85154838,22
123,24.7072241,23
124,25.57136567,24
125,26.44356851,25
126,27.32344401,26
127,28.21062005,27
128,29.10474138,28
129,30.0054698,29
130,30.9124843,30
131,31.82548097,31
132,32.74454889,32
133,33.66911864,33
134,34.5988206,34
135,35.53341311,35
136,36.47267063,36
137,37.41638324,37
138,38.36435624,38
139,39.31640878,39
140,40.27263856,40
141,41.23271158,41
142,42.19633687,42
143,43.16338731,43
144,44.13374275,44
145,45.10729768,45
146,46.08412141,46
147,47.06398068,47
148,48.04671663,48
149,49.03223387,49
150,50.02051571,50
151,51.01149798,51
152,52.00516369,52
153,53.00126396,53
154,54,54
155,55,55
156,56,56
157,57,57
158,58,58
159,59,59
160,60,60
161,61,61
162,62,62
163,63,63
164,64,64
165,65,65
166,66,66
167,67,67
168,68,68
169,69,69
