t,S_star,diff
1,91.3068,0.004998622284
2,88.9181,0.004999720857
3,87.3533,0.004998552553
4,86.1824,0.004999728441
5,85.2383,0.004999444664
6,84.4505,0.004999345447
7,83.7774,0.004998582715
8,83.1916,0.004998690242
9,82.6741,0.004998676911
10,82.2084,0.004999248624
11,81.7902,0.004999100468
12,81.4064,0.004997887288
