N,t
1,6e-06
2,4e-06
3,4e-06
4,4e-06
5,5e-06
6,4e-06
7,5e-06
8,5e-06
9,5e-06
10,7e-06
11,1.1e-05
12,1.1e-05
13,1.4e-05
14,1.3e-05
15,1e-05
16,1e-05
17,1.1e-05
18,1.2e-05
19,1.2e-05
20,1.3e-05
21,1.5e-05
22,1.5e-05
23,1.6e-05
24,1.7e-05
25,1.8e-05
26,1.9e-05
27,2e-05
28,2.1e-05
29,2.2e-05
30,8e-06
31,2.1e-05
32,2.7e-05
33,6e-06
34,6e-06
35,6e-06
36,7e-06
37,7e-06
38,8e-06
39,8e-06
40,8e-06
41,8e-06
42,8e-06
43,9e-06
44,9e-06
45,1e-05
46,4.9e-05
47,1.1e-05
48,5.3e-05
49,3.5e-05
50,3.1e-05
51,2.8e-05
52,1.3e-05
53,1.3e-05
54,3.2e-05
55,2.9e-05
56,1.4e-05
57,1.5e-05
58,2.5e-05
59,7.5e-05
60,4e-05
61,3.2e-05
62,1.7e-05
63,1.7e-05
64,3.2e-05
65,2e-05
66,2e-05
67,2e-05
68,2e-05
69,4.1e-05
70,7.8e-05
71,3.8e-05
72,2.2e-05
73,4.1e-05
74,3.9e-05
75,2.4e-05
76,5.6e-05
77,5.6e-05
78,2.6e-05
79,6.3e-05
80,6.4e-05
81,4.8e-05
82,7.2e-05
83,4.7e-05
84,4.6e-05
85,2.9e-05
86,2.9e-05
87,3e-05
88,3.1e-05
89,3.2e-05
90,3.2e-05
91,3.3e-05
92,5.6e-05
93,6.8e-05
94,7.4e-05
95,3.6e-05
96,3.7e-05
97,0.000102
98,0.0001
99,9.8e-05
100,0.000127
101,4.6e-05
102,4.6e-05
103,4.8e-05
104,4.8e-05
105,4.9e-05
106,5.1e-05
107,5.1e-05
108,5.2e-05
109,5.3e-05
110,5.4e-05
111,5.5e-05
112,5.6e-05
113,5.7e-05
114,5.8e-05
115,5.8e-05
116,5.9e-05
117,6.1e-05
118,6.1e-05
119,6.3e-05
120,6.4e-05
121,6.5e-05
122,6.6e-05
123,6.7e-05
124,6.8e-05
125,6.9e-05
126,7e-05
127,7.1e-05
128,7.2e-05
129,7.2e-05
130,7.4e-05
131,7.5e-05
132,7.6e-05
133,7.8e-05
134,8e-05
135,8e-05
136,8e-05
137,8.1e-05
138,8.3e-05
139,8.5e-05
140,8.6e-05
141,8.7e-05
142,8.7e-05
143,9.1e-05
144,9e-05
145,0.000112
146,9.2e-05
147,9.3e-05
148,9.4e-05
149,9.5e-05
150,9.8e-05
151,9.8e-05
152,0.0001
153,0.000101
154,0.000103
155,0.000106
156,0.000107
157,0.000107
158,0.000109
159,0.00011
160,0.00011
161,0.000113
162,0.000114
163,0.000116
164,0.000139
165,0.000115
166,0.000125
167,0.000117
168,0.000129
169,0.00012
170,0.000172
171,0.000123
172,0.000124
173,0.000126
174,0.000131
175,0.000133
176,0.000136
177,0.000156
178,0.000136
179,0.000137
180,0.000139
181,0.000144
182,0.000145
183,0.000147
184,0.000147
185,0.000149
186,0.000155
187,0.00016
188,0.000165
189,0.000168
190,0.000168
191,0.000167
192,0.000159
193,0.000159
194,0.000161
195,0.000164
196,0.000168
197,0.000174
198,0.00018
199,0.000266
200,0.000178
201,0.000183
202,0.000189
203,0.000186
204,0.000183
205,0.000187
206,0.000189
207,0.000188
208,0.000185
209,0.000184
210,0.000197
211,0.000206
212,0.000206
213,0.000211
214,0.000212
215,0.000212
216,0.000209
217,0.000228
218,0.00022
219,0.000231
220,0.000307
221,0.000183
222,0.000207
223,0.000245
224,0.000192
225,0.000246
226,0.000203
227,0.000235
228,0.000205
229,0.000273
230,0.00021
231,0.00024
232,0.000313
233,0.000251
234,0.000255
235,0.000215
236,0.000256
237,0.000219
238,0.000325
239,0.000398
240,0.000242
241,0.000227
242,0.00026
243,0.000283
244,0.000302
245,0.000267
246,0.000447
247,0.000269
248,0.000351
249,0.000266
250,0.000381
251,0.000313
252,0.000276
253,0.000279
254,0.000354
255,0.000354
256,0.000277
257,0.000333
258,0.000431
259,0.000393
260,0.000376
261,0.000331
262,0.000316
263,0.000277
264,0.000284
265,0.000313
266,0.000312
267,0.000267
268,0.00033
269,0.000388
270,0.000373
271,0.000374
272,0.000378
273,0.000338
274,0.000307
275,0.000344
276,0.000362
277,0.000346
278,0.000389
279,0.000315
280,0.000391
281,0.00034
282,0.000345
283,0.000446
284,0.000377
285,0.000355
286,0.000339
287,0.000356
288,0.000403
289,0.000352
290,0.000387
291,0.0004
292,0.000357
293,0.000353
294,0.000357
295,0.000392
296,0.000411
297,0.000411
298,0.000523
299,0.000408
